category,config_name,throughput_tps,throughput_std,speedup,ttft_ms,ttft_std,tpot_ms,tpot_std,acceptance_rate,acceptance_std,avg_path_length,path_length_std,total_rounds,tokens_per_round,high_conf_ratio,medium_conf_ratio,low_conf_ratio,peak_memory_mb,high_conf_threshold,low_conf_threshold,min_branch,max_branch,base_depth,max_depth
baseline,Baseline (AR),113.89814544360426,17.939429989825012,1.0,14.980815909802914,6.693815793460347,9.039905529717604,1.7234016975882969,0.0,0.0,0.0,0.0,1500,1.0,0.0,0.0,0.0,6008.7529296875,,,,,,
baseline,"Fixed Tree (D=5, B=2)",168.73598458851643,29.814116221016718,1.4814638458890859,20.648436434566975,13.804309898282808,6.128354117025932,1.2250745337221736,0.8337965536409117,0.0,5.836575875486381,0.0,257,5.836575875486381,0.0,0.0,0.0,6185.0673828125,,,,,,
threshold,thresh_h0.7_l0.5,208.3308372419821,30.705480457783544,1.8290977120881693,13.156061246991158,2.4788538959397415,4.950069675532481,1.0857703195325845,1.0641128917344098,0.011858524011768786,7.448790242140869,0.08300966808238153,201,7.462686567164179,0.9241192081685323,0.009715203315769142,0.06616558851569837,6183.38720703125,0.7,0.5,1,3,5,8
threshold,thresh_h0.8_l0.6,220.63262869020264,12.228679719576258,1.9371046633893356,12.359362654387951,0.35134375996231193,4.540443905753394,0.2933229109322622,1.038835970329149,0.08216440050490083,7.2718517923040435,0.5751508035343058,207,7.246376811594203,0.8833660280649844,0.022782871513000347,0.09385110042201526,6183.38720703125,0.8,0.6,1,3,5,8
threshold,thresh_h0.9_l0.7,221.07944644699379,19.845774113261978,1.9410276224072451,12.608382292091846,0.33217776207510685,4.562895152842005,0.5355590726699968,1.0291264561664786,0.13964283585718254,7.203885193165351,0.9774998510002779,214,7.009345794392523,0.8593778614850123,0.018404154384776106,0.1222179841302117,6183.822265625,0.9,0.7,1,3,5,8
threshold,thresh_h0.7_l0.4,208.4175095633347,34.21064064859245,1.829858675499953,13.406236935406923,3.1396924876172476,4.970963558803002,1.1098090520222124,1.0635954433757562,0.012322737750567279,7.445168103630292,0.0862591642539711,201,7.462686567164179,0.9240278324261044,0.028641017525603395,0.047331150048292026,6182.40771484375,0.7,0.4,1,3,5,8
threshold,thresh_h0.8_l0.5,191.6233707843181,37.398046521953454,1.682409928958842,15.517382323741913,4.877070027796194,5.45713024083525,1.3043688059949672,1.038835970329149,0.08216440050490083,7.2718517923040435,0.5751508035343058,207,7.246376811594203,0.8833660280649844,0.034710821310545495,0.08192315062447011,6183.39697265625,0.8,0.5,1,3,5,8
threshold,thresh_h0.9_l0.6,189.59836694056375,35.91241647240994,1.6646308524350981,14.648101013153791,4.149866260021842,5.479002432400982,1.1497397413580468,1.0280496435318769,0.13929128310546432,7.19634750472314,0.9750389817382503,214,7.009345794392523,0.8578228471226771,0.029953042721762357,0.11222411015556055,6182.841796875,0.9,0.6,1,3,5,8
threshold,thresh_h0.7_l0.3,211.05508647093748,35.62198003229803,1.8530160052117766,13.540538027882576,3.3100422310614976,4.91959531083703,1.1296045029083215,1.0635954433757562,0.012322737750567279,7.445168103630292,0.0862591642539711,201,7.462686567164179,0.9240278324261044,0.039170075067818624,0.036802092506076814,6181.97216796875,0.7,0.3,1,3,5,8
threshold,thresh_h0.8_l0.4,212.17500514821683,32.35537364183493,1.8628486383325138,14.132130518555641,4.155062601888792,4.875619431150456,1.136738510543551,1.0383133987194193,0.0820394392729253,7.268193791035936,0.5742760749104772,208,7.211538461538462,0.8832891189524258,0.05408182836765522,0.06262905267991903,6183.04931640625,0.8,0.4,1,3,5,8
threshold,thresh_h0.9_l0.5,217.49784486513263,17.852827300000513,1.9095819692062055,12.305550463497639,0.29616735017573725,4.6283526989941794,0.4739462389867327,1.010642680746763,0.1356979305095535,7.074498765227341,0.9498855135668746,218,6.8807339449541285,0.8296842877885379,0.067628878167066,0.10268683404439609,6183.435546875,0.9,0.5,1,3,5,8
